run_id,case_id,query,group,rank,chunk_id,doc_id,article_no,section,matched_relevant_chunk,matched_relevant_doc,recall@5,hit@5,mrr,first_hit_rank,bm25,vector,rrf,rerank,snippet
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,bm25_only,1,chk_e5e5e0dbf06c23ce,doc_f86ec6589d0f,第五十条,第五章 工　　资,True,True,1.0,1.0,1.0,1,22.209151,0.497851,0.032787,0.576748,第五十条　工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,bm25_only,2,chk_12b688d1d9c897a1,doc_536580e90bca,第四十七条,第四章 劳动合同的解除和终止,False,True,1.0,1.0,1.0,1,18.539117,0.406969,0.031281,0.534389,"第四十七条　经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。

劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。

本条所称月工资是指劳动者在劳动合"
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,bm25_only,3,chk_8b1d9083f67cbdaf,doc_8901078e8b12,第九条,第一章 总　　则,True,True,1.0,1.0,1.0,1,18.082054,0.441115,0.031746,0.497225,"第九条　用人单位违反国家规定，拖欠或者未足额支付劳动报酬，或者拖欠工伤医疗费、经济补偿或者赔偿金的，劳动者可以向劳动行政部门投诉，劳动行政部门应当依法处理。

第二章　调　　解"
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,bm25_only,4,chk_f47e78b403cf57df,doc_f86ec6589d0f,第九十一条,第十二章 法律责任,True,True,1.0,1.0,1.0,1,17.810633,0.450937,0.031754,0.565718,"第九十一条　用人单位有下列侵害劳动者合法权益情形之一的，由劳动行政部门责令支付劳动者的工资报酬、经济补偿，并可以责令支付赔偿金：

（一）克扣或者无故拖欠劳动者工资的；

（二）拒不支付劳动者延长工作时间工资报酬的；

（三）低于当地最低工资标准支付劳动者工资的；

（四）解除劳动合同后，未依照本法规定给予劳动者经济补偿的。"
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,bm25_only,5,chk_c59750094573b8b3,doc_4fbd94dec09d,第二十六条,第四章 法律责任,False,False,1.0,1.0,1.0,1,14.952377,0.391579,0.029274,0.474203,"第二十六条　用人单位有下列行为之一的，由劳动保障行政部门分别责令限期支付劳动者的工资报酬、劳动者工资低于当地最低工资标准的差额或者解除劳动合同的经济补偿；逾期不支付的，责令用人单位按照应付金额50%以上1倍以下的标准计算，向劳动者加付赔偿金：

(一)克扣或者无故拖欠劳动者工资报酬的；

(二)支付劳动者的工资低于当地最低工资标准的；

(三)解除劳动合同未依法给予劳动者经济补偿的。"
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,vector_only,1,chk_e5e5e0dbf06c23ce,doc_f86ec6589d0f,第五十条,第五章 工　　资,True,True,1.0,1.0,1.0,1,22.209151,0.497851,0.032787,0.576748,第五十条　工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,vector_only,2,chk_f47e78b403cf57df,doc_f86ec6589d0f,第九十一条,第十二章 法律责任,True,True,1.0,1.0,1.0,1,17.810633,0.450937,0.031754,0.565718,"第九十一条　用人单位有下列侵害劳动者合法权益情形之一的，由劳动行政部门责令支付劳动者的工资报酬、经济补偿，并可以责令支付赔偿金：

（一）克扣或者无故拖欠劳动者工资的；

（二）拒不支付劳动者延长工作时间工资报酬的；

（三）低于当地最低工资标准支付劳动者工资的；

（四）解除劳动合同后，未依照本法规定给予劳动者经济补偿的。"
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,vector_only,3,chk_8b1d9083f67cbdaf,doc_8901078e8b12,第九条,第一章 总　　则,True,True,1.0,1.0,1.0,1,18.082054,0.441115,0.031746,0.497225,"第九条　用人单位违反国家规定，拖欠或者未足额支付劳动报酬，或者拖欠工伤医疗费、经济补偿或者赔偿金的，劳动者可以向劳动行政部门投诉，劳动行政部门应当依法处理。

第二章　调　　解"
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,vector_only,4,chk_721e63bbc1d79611,doc_536580e90bca,第六十五条,第二节 劳务派遣,False,True,1.0,1.0,1.0,1,0.0,0.434093,0.015625,0.309433,"第六十五条　被派遣劳动者可以依照本法第三十六条、第三十八条的规定与劳务派遣单位解除劳动合同。

被派遣劳动者有本法第三十九条和第四十条第一项、第二项规定情形的，用工单位可以将劳动者退回劳务派遣单位，劳务派遣单位依照本法有关规定，可以与劳动者解除劳动合同。"
run_c65fb3d1604e,case_01,公司连续三个月拖欠工资，劳动者可以怎么维权？,vector_only,5,chk_ad5fd965ce8f2836,doc_536580e90bca,第六十四条,第二节 劳务派遣,False,True,1.0,1.0,1.0,1,11.771825,0.41304,0.02773,0.385573,第六十四条　被派遣劳动者有权在劳务派遣单位或者用工单位依法参加或者组织工会，维护自身的合法权益。
